exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.03405,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.03525,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.036725,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.036475,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0368083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0378083,-999,-999,-999,-999,0.0378083,-999,-999,-999,-999,-999
0.0391917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.040625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0406583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0396083,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0396083
0.0397917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0392417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0403833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.044325,-999,-999,-999,-999,-999,-999,-999,0.044325,-999,-999
0.043975,-999,-999,-999,0.043975,-999,-999,-999,-999,-999,-999
0.0491917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0509833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0553583,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0553583
0.05765,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.057725,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.058475,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0605083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.062525,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.115667,-999,-999,-999,-999,-999,-999,-999,0.115667,-999,-999
0.169983,-999,-999,-999,0.169983,-999,-999,-999,-999,-999,-999
0.221017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.254425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.272483,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.27295,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.272467,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.273367,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.273742,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.257975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.239275,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.236267,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.232342,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.248833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.245958,-999,-999,-999,-999,-999,-999,-999,-999,0.245958,-999
0.199225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.134575,-999,-999,-999,-999,-999,-999,-999,-999,0.134575,-999
0.0883583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0763583,-999,0.0763583,-999,-999,-999,-999,-999,-999,-999,-999
0.0763667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.076375,-999,-999,-999,-999,0.076375,-999,-999,-999,-999,-999
0.0754083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.07435,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0736833,-999,0.0736833,-999,-999,-999,-999,-999,-999,-999,-999
0.0760333,-999,0.0760333,-999,-999,-999,-999,-999,-999,-999,-999
0.0748417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.07365,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0640167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0631583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.06785,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0737833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.081675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0871167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0946,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0999917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.103258,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.103967,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.103967
0.0994833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0975333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0970333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.100392,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.102117,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.106392,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.105075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1047,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.100425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0992833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0892917,-999,0.0892917,-999,-999,-999,-999,-999,-999,-999,-999
0.0880417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0818083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0840667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0869917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.09625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.099275,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.100842,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.09625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0930667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0872417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.086275,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.08595,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0895333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0876667,-999,-999,-999,-999,-999,0.0876667,-999,-999,-999,-999
0.0839,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0856167,-999,-999,-999,-999,-999,0.0856167,-999,-999,-999,-999
0.0906917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0929667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0896667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
